YEAR,MONTH,SERVICE_DATE,SORT_ALL,BRANCH,STATION,station_id,RIDES
2019,4,4/29/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11395
2019,4,4/29/2019,185,Orange Line,Midway Airport,930,8058
2019,4,4/30/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9398
2019,4,4/30/2019,185,Orange Line,Midway Airport,930,7912
2019,5,5/1/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10755
2019,5,5/1/2019,185,Orange Line,Midway Airport,930,8027
2019,5,5/2/2019,55,Blue Line - O'Hare,O'Hare Airport,890,12358
2019,5,5/2/2019,185,Orange Line,Midway Airport,930,8574
2019,5,5/3/2019,55,Blue Line - O'Hare,O'Hare Airport,890,13095
2019,5,5/3/2019,185,Orange Line,Midway Airport,930,8896
2019,5,5/4/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9014
2019,5,5/4/2019,185,Orange Line,Midway Airport,930,4108
2019,5,5/5/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10381
2019,5,5/5/2019,185,Orange Line,Midway Airport,930,3656
2019,5,5/6/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11763
2019,5,5/6/2019,185,Orange Line,Midway Airport,930,8565
2019,5,5/7/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10657
2019,5,5/7/2019,185,Orange Line,Midway Airport,930,8320
2019,5,5/8/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11073
2019,5,5/8/2019,185,Orange Line,Midway Airport,930,8477
2019,5,5/9/2019,55,Blue Line - O'Hare,O'Hare Airport,890,12880
2019,5,5/9/2019,185,Orange Line,Midway Airport,930,8811
2019,5,5/10/2019,55,Blue Line - O'Hare,O'Hare Airport,890,14114
2019,5,5/10/2019,185,Orange Line,Midway Airport,930,9032
2019,5,5/11/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10257
2019,5,5/11/2019,185,Orange Line,Midway Airport,930,4062
2019,5,5/12/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11867
2019,5,5/12/2019,185,Orange Line,Midway Airport,930,3545
2019,5,5/13/2019,55,Blue Line - O'Hare,O'Hare Airport,890,12682
2019,5,5/13/2019,185,Orange Line,Midway Airport,930,8279
2019,5,5/14/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11018
2019,5,5/14/2019,185,Orange Line,Midway Airport,930,8003
2019,5,5/15/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11338
2019,5,5/15/2019,185,Orange Line,Midway Airport,930,8189
2019,5,5/16/2019,55,Blue Line - O'Hare,O'Hare Airport,890,12894
2019,5,5/16/2019,185,Orange Line,Midway Airport,930,8255
2019,5,5/17/2019,55,Blue Line - O'Hare,O'Hare Airport,890,13957
2019,5,5/17/2019,185,Orange Line,Midway Airport,930,8233
2019,5,5/18/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9507
2019,5,5/18/2019,185,Orange Line,Midway Airport,930,4010
2019,5,5/19/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11032
2019,5,5/19/2019,185,Orange Line,Midway Airport,930,4002
2019,5,5/20/2019,55,Blue Line - O'Hare,O'Hare Airport,890,13230
2019,5,5/20/2019,185,Orange Line,Midway Airport,930,8602
2019,5,5/21/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11806
2019,5,5/21/2019,185,Orange Line,Midway Airport,930,8079
2019,5,5/22/2019,55,Blue Line - O'Hare,O'Hare Airport,890,12022
2019,5,5/22/2019,185,Orange Line,Midway Airport,930,8756
2019,5,5/23/2019,55,Blue Line - O'Hare,O'Hare Airport,890,13830
2019,5,5/23/2019,185,Orange Line,Midway Airport,930,8919
2019,5,5/24/2019,55,Blue Line - O'Hare,O'Hare Airport,890,14875
2019,5,5/24/2019,185,Orange Line,Midway Airport,930,8910
2019,5,5/25/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10427
2019,5,5/25/2019,185,Orange Line,Midway Airport,930,4634
2019,5,5/26/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9412
2019,5,5/26/2019,185,Orange Line,Midway Airport,930,3155
2019,5,5/27/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11892
2019,5,5/27/2019,185,Orange Line,Midway Airport,930,3618
2019,5,5/28/2019,55,Blue Line - O'Hare,O'Hare Airport,890,13677
2019,5,5/28/2019,185,Orange Line,Midway Airport,930,8675
2019,5,5/29/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11589
2019,5,5/29/2019,185,Orange Line,Midway Airport,930,8271
2019,5,5/30/2019,55,Blue Line - O'Hare,O'Hare Airport,890,12601
2019,5,5/30/2019,185,Orange Line,Midway Airport,930,8344
2019,5,5/31/2019,55,Blue Line - O'Hare,O'Hare Airport,890,13436
2019,5,5/31/2019,185,Orange Line,Midway Airport,930,8756
2019,6,6/1/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8548
2019,6,6/1/2019,185,Orange Line,Midway Airport,930,3607
2019,6,6/2/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11129
2019,6,6/2/2019,185,Orange Line,Midway Airport,930,3634
2019,6,6/3/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11898
2019,6,6/3/2019,185,Orange Line,Midway Airport,930,8534
2019,6,6/4/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11559
2019,6,6/4/2019,185,Orange Line,Midway Airport,930,8417
2019,6,6/5/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11529
2019,6,6/5/2019,185,Orange Line,Midway Airport,930,8584
2019,6,6/6/2019,55,Blue Line - O'Hare,O'Hare Airport,890,13389
2019,6,6/6/2019,185,Orange Line,Midway Airport,930,9225
2019,6,6/7/2019,55,Blue Line - O'Hare,O'Hare Airport,890,14065
2019,6,6/7/2019,185,Orange Line,Midway Airport,930,9251
2019,6,6/8/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9462
2019,6,6/8/2019,185,Orange Line,Midway Airport,930,4569
2019,6,6/9/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11182
2019,6,6/9/2019,185,Orange Line,Midway Airport,930,3983
2019,6,6/10/2019,55,Blue Line - O'Hare,O'Hare Airport,890,12077
2019,6,6/10/2019,185,Orange Line,Midway Airport,930,8563
2019,6,6/11/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11313
2019,6,6/11/2019,185,Orange Line,Midway Airport,930,8510
2019,6,6/12/2019,55,Blue Line - O'Hare,O'Hare Airport,890,12682
2019,6,6/12/2019,185,Orange Line,Midway Airport,930,8656
2019,6,6/13/2019,55,Blue Line - O'Hare,O'Hare Airport,890,14952
2019,6,6/13/2019,185,Orange Line,Midway Airport,930,9505
2019,6,6/14/2019,55,Blue Line - O'Hare,O'Hare Airport,890,13856
2019,6,6/14/2019,185,Orange Line,Midway Airport,930,9418
2019,6,6/15/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8736
2019,6,6/15/2019,185,Orange Line,Midway Airport,930,3826
2019,6,6/16/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10030
2019,6,6/16/2019,185,Orange Line,Midway Airport,930,3585
2019,6,6/17/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8726
2019,6,6/17/2019,185,Orange Line,Midway Airport,930,8055
2019,6,6/18/2019,55,Blue Line - O'Hare,O'Hare Airport,890,7577
2019,6,6/18/2019,185,Orange Line,Midway Airport,930,8779
2019,6,6/19/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8920
