TeamA,TeamB,Date,Time,Attendance,Venue,Duration,link
Chicago White Sox,Chicago Cubs,"Tuesday, August 15, 2023",Start Time: 7:05 p.m. Local,"Attendance: 40,389",Venue: Wrigley Field,Game Duration: 2:42,https://www.baseball-reference.com//boxes/CHN/CHN202308150.shtml
Chicago White Sox,Chicago Cubs,"Wednesday, August 16, 2023",Start Time: 7:05 p.m. Local,"Attendance: 40,869",Venue: Wrigley Field,Game Duration: 2:27,https://www.baseball-reference.com//boxes/CHN/CHN202308160.shtml
Kansas City Royals,Chicago Cubs,"Friday, August 18, 2023",Start Time: 1:20 p.m. Local,"Attendance: 37,936",Venue: Wrigley Field,Game Duration: 2:43,https://www.baseball-reference.com//boxes/CHN/CHN202308180.shtml
Kansas City Royals,Chicago Cubs,"Saturday, August 19, 2023",Start Time: 1:20 p.m. Local,"Attendance: 39,525",Venue: Wrigley Field,Game Duration: 2:34,https://www.baseball-reference.com//boxes/CHN/CHN202308190.shtml
Kansas City Royals,Chicago Cubs,"Sunday, August 20, 2023",Start Time: 1:20 p.m. Local,"Attendance: 36,949",Venue: Wrigley Field,Game Duration: 2:02,https://www.baseball-reference.com//boxes/CHN/CHN202308200.shtml
Seattle Mariners,Chicago White Sox,"Monday, August 21, 2023",Start Time: 7:10 p.m. Local,"Attendance: 15,275",Venue: Guaranteed Rate Field,Game Duration: 2:45,https://www.baseball-reference.com//boxes/CHA/CHA202308210.shtml
Seattle Mariners,Chicago White Sox,"Tuesday, August 22, 2023",Start Time: 7:10 p.m. Local,"Attendance: 16,070",Venue: Guaranteed Rate Field,Game Duration: 3:06,https://www.baseball-reference.com//boxes/CHA/CHA202308220.shtml
Seattle Mariners,Chicago White Sox,"Wednesday, August 23, 2023",Start Time: 1:10 p.m. Local,"Attendance: 15,759",Venue: Guaranteed Rate Field,Game Duration: 3:14,https://www.baseball-reference.com//boxes/CHA/CHA202308230.shtml
Oakland Athletics,Chicago White Sox,"Thursday, August 24, 2023",Start Time: 7:10 p.m. Local,"Attendance: 13,247",Venue: Guaranteed Rate Field,Game Duration: 2:41,https://www.baseball-reference.com//boxes/CHA/CHA202308240.shtml
Oakland Athletics,Chicago White Sox,"Friday, August 25, 2023",Start Time: 6:10 p.m. Local,"Attendance: 21,906",Venue: Guaranteed Rate Field,Game Duration: 2:48,https://www.baseball-reference.com//boxes/CHA/CHA202308250.shtml
Oakland Athletics,Chicago White Sox,"Saturday, August 26, 2023",Start Time: 6:10 p.m. Local,"Attendance: 21,508",Venue: Guaranteed Rate Field,Game Duration: 2:45,https://www.baseball-reference.com//boxes/CHA/CHA202308260.shtml
Oakland Athletics,Chicago White Sox,"Sunday, August 27, 2023",Start Time: 1:10 p.m. Local,"Attendance: 20,236",Venue: Guaranteed Rate Field,Game Duration: 2:36,https://www.baseball-reference.com//boxes/CHA/CHA202308270.shtml
Milwaukee Brewers,Chicago Cubs,"Monday, August 28, 2023",Start Time: 7:05 p.m. Local,"Attendance: 35,097",Venue: Wrigley Field,Game Duration: 2:18,https://www.baseball-reference.com//boxes/CHN/CHN202308280.shtml
Milwaukee Brewers,Chicago Cubs,"Tuesday, August 29, 2023",Start Time: 7:05 p.m. Local,"Attendance: 33,294",Venue: Wrigley Field,Game Duration: 2:30,https://www.baseball-reference.com//boxes/CHN/CHN202308290.shtml
Milwaukee Brewers,Chicago Cubs,"Wednesday, August 30, 2023",Start Time: 1:20 p.m. Local,"Attendance: 31,769",Venue: Wrigley Field,Game Duration: 2:31,https://www.baseball-reference.com//boxes/CHN/CHN202308300.shtml
Detroit Tigers,Chicago White Sox,"Friday, September 1, 2023",Start Time: 7:10 p.m. Local,"Attendance: 15,105",Venue: Guaranteed Rate Field,Game Duration: 2:43,https://www.baseball-reference.com//boxes/CHA/CHA202309010.shtml
Detroit Tigers,Chicago White Sox,"Saturday, September 2, 2023",Start Time: 6:10 p.m. Local,"Attendance: 21,186",Venue: Guaranteed Rate Field,Game Duration: 2:22,https://www.baseball-reference.com//boxes/CHA/CHA202309020.shtml
Detroit Tigers,Chicago White Sox,"Sunday, September 3, 2023",Start Time: 1:10 p.m. Local,"Attendance: 22,246",Venue: Guaranteed Rate Field,Game Duration: 2:51,https://www.baseball-reference.com//boxes/CHA/CHA202309030.shtml
San Francisco Giants,Chicago Cubs,"Monday, September 4, 2023",Start Time: 1:20 p.m. Local,"Attendance: 39,452",Venue: Wrigley Field,Game Duration: 1:59,https://www.baseball-reference.com//boxes/CHN/CHN202309040.shtml
San Francisco Giants,Chicago Cubs,"Tuesday, September 5, 2023",Start Time: 6:40 p.m. Local,"Attendance: 28,684",Venue: Wrigley Field,Game Duration: 3:11,https://www.baseball-reference.com//boxes/CHN/CHN202309050.shtml
San Francisco Giants,Chicago Cubs,"Wednesday, September 6, 2023",Start Time: 1:20 p.m. Local,"Attendance: 27,443",Venue: Wrigley Field,Game Duration: 2:18,https://www.baseball-reference.com//boxes/CHN/CHN202309060.shtml
Arizona Diamondbacks,Chicago Cubs,"Thursday, September 7, 2023",Start Time: 6:40 p.m. Local,"Attendance: 28,814",Venue: Wrigley Field,Game Duration: 2:34,https://www.baseball-reference.com//boxes/CHN/CHN202309070.shtml
Arizona Diamondbacks,Chicago Cubs,"Friday, September 8, 2023",Start Time: 1:20 p.m. Local,"Attendance: 31,846",Venue: Wrigley Field,Game Duration: 2:16,https://www.baseball-reference.com//boxes/CHN/CHN202309080.shtml
Arizona Diamondbacks,Chicago Cubs,"Saturday, September 9, 2023",Start Time: 1:20 p.m. Local,"Attendance: 40,391",Venue: Wrigley Field,Game Duration: 3:12,https://www.baseball-reference.com//boxes/CHN/CHN202309090.shtml
Arizona Diamondbacks,Chicago Cubs,"Sunday, September 10, 2023",Start Time: 1:20 p.m. Local,"Attendance: 35,431",Venue: Wrigley Field,Game Duration: 2:17,https://www.baseball-reference.com//boxes/CHN/CHN202309100.shtml
Kansas City Royals,Chicago White Sox,"Tuesday, September 12, 2023",Start Time: 3:40 p.m. Local,,Venue: Guaranteed Rate Field,Game Duration: 2:33,https://www.baseball-reference.com//boxes/CHA/CHA202309121.shtml
Kansas City Royals,Chicago White Sox,"Tuesday, September 12, 2023",Start Time: 6:57 p.m. Local,"Attendance: 14,824",Venue: Guaranteed Rate Field,Game Duration: 3:13,https://www.baseball-reference.com//boxes/CHA/CHA202309122.shtml
Kansas City Royals,Chicago White Sox,"Wednesday, September 13, 2023",Start Time: 6:40 p.m. Local,"Attendance: 15,593",Venue: Guaranteed Rate Field,Game Duration: 2:39,https://www.baseball-reference.com//boxes/CHA/CHA202309130.shtml
Minnesota Twins,Chicago White Sox,"Thursday, September 14, 2023",Start Time: 6:40 p.m. Local,"Attendance: 13,233",Venue: Guaranteed Rate Field,Game Duration: 2:33,https://www.baseball-reference.com//boxes/CHA/CHA202309140.shtml
Minnesota Twins,Chicago White Sox,"Friday, September 15, 2023",Start Time: 6:40 p.m. Local,"Attendance: 18,001",Venue: Guaranteed Rate Field,Game Duration: 2:56,https://www.baseball-reference.com//boxes/CHA/CHA202309150.shtml
Minnesota Twins,Chicago White Sox,"Saturday, September 16, 2023",Start Time: 6:10 p.m. Local,"Attendance: 24,964",Venue: Guaranteed Rate Field,Game Duration: 2:42,https://www.baseball-reference.com//boxes/CHA/CHA202309160.shtml
Minnesota Twins,Chicago White Sox,"Sunday, September 17, 2023",Start Time: 1:10 p.m. Local,"Attendance: 17,641",Venue: Guaranteed Rate Field,Game Duration: 2:31,https://www.baseball-reference.com//boxes/CHA/CHA202309170.shtml
Pittsburgh Pirates,Chicago Cubs,"Tuesday, September 19, 2023",Start Time: 6:40 p.m. Local,"Attendance: 34,202",Venue: Wrigley Field,Game Duration: 2:38,https://www.baseball-reference.com//boxes/CHN/CHN202309190.shtml
Pittsburgh Pirates,Chicago Cubs,"Wednesday, September 20, 2023",Start Time: 6:40 p.m. Local,"Attendance: 31,491",Venue: Wrigley Field,Game Duration: 2:58,https://www.baseball-reference.com//boxes/CHN/CHN202309200.shtml
Pittsburgh Pirates,Chicago Cubs,"Thursday, September 21, 2023",Start Time: 6:40 p.m. Local,"Attendance: 31,544",Venue: Wrigley Field,Game Duration: 3:02,https://www.baseball-reference.com//boxes/CHN/CHN202309210.shtml
Colorado Rockies,Chicago Cubs,"Friday, September 22, 2023",Start Time: 1:20 p.m. Local,"Attendance: 32,150",Venue: Wrigley Field,Game Duration: 2:38,https://www.baseball-reference.com//boxes/CHN/CHN202309220.shtml
Colorado Rockies,Chicago Cubs,"Saturday, September 23, 2023",Start Time: 1:20 p.m. Local,"Attendance: 38,608",Venue: Wrigley Field,Game Duration: 2:55,https://www.baseball-reference.com//boxes/CHN/CHN202309230.shtml
Colorado Rockies,Chicago Cubs,"Sunday, September 24, 2023",Start Time: 1:20 p.m. Local,"Attendance: 37,060",Venue: Wrigley Field,Game Duration: 2:31,https://www.baseball-reference.com//boxes/CHN/CHN202309240.shtml
Arizona Diamondbacks,Chicago White Sox,"Tuesday, September 26, 2023",Start Time: 6:40 p.m. Local,"Attendance: 14,339",Venue: Guaranteed Rate Field,Game Duration: 2:55,https://www.baseball-reference.com//boxes/CHA/CHA202309260.shtml
Arizona Diamondbacks,Chicago White Sox,"Wednesday, September 27, 2023",Start Time: 1:10 p.m. Local,"Attendance: 14,790",Venue: Guaranteed Rate Field,Game Duration: 2:28,https://www.baseball-reference.com//boxes/CHA/CHA202309270.shtml
Arizona Diamondbacks,Chicago White Sox,"Thursday, September 28, 2023",Start Time: 1:10 p.m. Local,"Attendance: 23,522",Venue: Guaranteed Rate Field,Game Duration: 2:16,https://www.baseball-reference.com//boxes/CHA/CHA202309280.shtml
San Diego Padres,Chicago White Sox,"Friday, September 29, 2023",Start Time: 6:40 p.m. Local,"Attendance: 20,491",Venue: Guaranteed Rate Field,Game Duration: 3:04,https://www.baseball-reference.com//boxes/CHA/CHA202309290.shtml
San Diego Padres,Chicago White Sox,"Saturday, September 30, 2023",Start Time: 6:10 p.m. Local,"Attendance: 30,118",Venue: Guaranteed Rate Field,Game Duration: 2:26,https://www.baseball-reference.com//boxes/CHA/CHA202309300.shtml
San Diego Padres,Chicago White Sox,"Sunday, October 1, 2023",Start Time: 2:10 p.m. Local,"Attendance: 20,588",Venue: Guaranteed Rate Field,Game Duration: 3:07,https://www.baseball-reference.com//boxes/CHA/CHA202310010.shtml
