TeamA,TeamB,Date,Time,Attendance,Venue,Duration,link
Miami Marlins,Chicago White Sox,2019-07-23,19:11,14043.0,Guaranteed Rate Field,2:27,https://www.baseball-reference.com//boxes/CHA/CHA201907230.shtml
Miami Marlins,Chicago White Sox,2019-07-24,19:11,19098.0,Guaranteed Rate Field,2:38,https://www.baseball-reference.com//boxes/CHA/CHA201907240.shtml
Minnesota Twins,Chicago White Sox,2019-07-25,19:11,22087.0,Guaranteed Rate Field,3:01,https://www.baseball-reference.com//boxes/CHA/CHA201907250.shtml
Minnesota Twins,Chicago White Sox,2019-07-26,19:11,22602.0,Guaranteed Rate Field,2:50,https://www.baseball-reference.com//boxes/CHA/CHA201907260.shtml
Minnesota Twins,Chicago White Sox,2019-07-27,18:10,34085.0,Guaranteed Rate Field,3:04,https://www.baseball-reference.com//boxes/CHA/CHA201907270.shtml
Minnesota Twins,Chicago White Sox,2019-07-28,13:11,27595.0,Guaranteed Rate Field,3:14,https://www.baseball-reference.com//boxes/CHA/CHA201907280.shtml
New York Mets,Chicago White Sox,2019-07-30,19:12,15947.0,Guaranteed Rate Field,3:51,https://www.baseball-reference.com//boxes/CHA/CHA201907300.shtml
New York Mets,Chicago White Sox,2019-07-31,19:11,25812.0,Guaranteed Rate Field,3:27,https://www.baseball-reference.com//boxes/CHA/CHA201907310.shtml
New York Mets,Chicago White Sox,2019-08-01,13:11,23477.0,Guaranteed Rate Field,2:32,https://www.baseball-reference.com//boxes/CHA/CHA201908010.shtml
Milwaukee Brewers,Chicago Cubs,2019-08-02,13:21,41424.0,Wrigley Field,3:18,https://www.baseball-reference.com//boxes/CHN/CHN201908020.shtml
Milwaukee Brewers,Chicago Cubs,2019-08-03,13:20,41186.0,Wrigley Field,3:08,https://www.baseball-reference.com//boxes/CHN/CHN201908030.shtml
Milwaukee Brewers,Chicago Cubs,2019-08-04,13:20,40466.0,Wrigley Field,3:04,https://www.baseball-reference.com//boxes/CHN/CHN201908040.shtml
Oakland Athletics,Chicago Cubs,2019-08-05,19:07,40721.0,Wrigley Field,3:17,https://www.baseball-reference.com//boxes/CHN/CHN201908050.shtml
Oakland Athletics,Chicago Cubs,2019-08-06,19:06,40627.0,Wrigley Field,2:37,https://www.baseball-reference.com//boxes/CHN/CHN201908060.shtml
Oakland Athletics,Chicago Cubs,2019-08-07,13:21,41179.0,Wrigley Field,2:36,https://www.baseball-reference.com//boxes/CHN/CHN201908070.shtml
Oakland Athletics,Chicago White Sox,2019-08-09,14:11,18318.0,Guaranteed Rate Field,2:50,https://www.baseball-reference.com//boxes/CHA/CHA201908090.shtml
Oakland Athletics,Chicago White Sox,2019-08-10,18:11,27026.0,Guaranteed Rate Field,3:19,https://www.baseball-reference.com//boxes/CHA/CHA201908100.shtml
Oakland Athletics,Chicago White Sox,2019-08-11,13:38,30951.0,Guaranteed Rate Field,2:52,https://www.baseball-reference.com//boxes/CHA/CHA201908110.shtml
Houston Astros,Chicago White Sox,2019-08-13,,,Guaranteed Rate Field,3:17,https://www.baseball-reference.com//boxes/CHA/CHA201908131.shtml
Houston Astros,Chicago White Sox,2019-08-13,20:03,19559.0,Guaranteed Rate Field,2:21,https://www.baseball-reference.com//boxes/CHA/CHA201908132.shtml
Houston Astros,Chicago White Sox,2019-08-14,13:11,18899.0,Guaranteed Rate Field,3:30,https://www.baseball-reference.com//boxes/CHA/CHA201908140.shtml
San Francisco Giants,Chicago Cubs,2019-08-20,19:05,36969.0,Wrigley Field,2:57,https://www.baseball-reference.com//boxes/CHN/CHN201908200.shtml
San Francisco Giants,Chicago Cubs,2019-08-21,19:05,38619.0,Wrigley Field,3:31,https://www.baseball-reference.com//boxes/CHN/CHN201908210.shtml
Texas Rangers,Chicago White Sox,2019-08-22,19:11,18563.0,Guaranteed Rate Field,2:29,https://www.baseball-reference.com//boxes/CHA/CHA201908220.shtml
San Francisco Giants,Chicago Cubs,2019-08-22,13:21,36366.0,Wrigley Field,2:29,https://www.baseball-reference.com//boxes/CHN/CHN201908220.shtml
Texas Rangers,Chicago White Sox,2019-08-23,19:11,27016.0,Guaranteed Rate Field,2:50,https://www.baseball-reference.com//boxes/CHA/CHA201908230.shtml
Washington Nationals,Chicago Cubs,2019-08-23,13:21,39889.0,Wrigley Field,3:10,https://www.baseball-reference.com//boxes/CHN/CHN201908230.shtml
Texas Rangers,Chicago White Sox,2019-08-24,18:10,26454.0,Guaranteed Rate Field,3:06,https://www.baseball-reference.com//boxes/CHA/CHA201908240.shtml
Washington Nationals,Chicago Cubs,2019-08-24,13:21,40658.0,Wrigley Field,3:56,https://www.baseball-reference.com//boxes/CHN/CHN201908240.shtml
Texas Rangers,Chicago White Sox,2019-08-25,13:12,25553.0,Guaranteed Rate Field,2:57,https://www.baseball-reference.com//boxes/CHA/CHA201908250.shtml
Washington Nationals,Chicago Cubs,2019-08-25,13:21,40518.0,Wrigley Field,4:35,https://www.baseball-reference.com//boxes/CHN/CHN201908250.shtml
Minnesota Twins,Chicago White Sox,2019-08-27,19:11,12175.0,Guaranteed Rate Field,3:16,https://www.baseball-reference.com//boxes/CHA/CHA201908270.shtml
Minnesota Twins,Chicago White Sox,2019-08-28,19:11,16802.0,Guaranteed Rate Field,3:14,https://www.baseball-reference.com//boxes/CHA/CHA201908280.shtml
Minnesota Twins,Chicago White Sox,2019-08-29,13:11,15886.0,Guaranteed Rate Field,3:20,https://www.baseball-reference.com//boxes/CHA/CHA201908290.shtml
Milwaukee Brewers,Chicago Cubs,2019-08-30,13:23,40276.0,Wrigley Field,3:07,https://www.baseball-reference.com//boxes/CHN/CHN201908300.shtml
Milwaukee Brewers,Chicago Cubs,2019-08-31,13:20,40178.0,Wrigley Field,2:57,https://www.baseball-reference.com//boxes/CHN/CHN201908310.shtml
Milwaukee Brewers,Chicago Cubs,2019-09-01,13:21,40912.0,Wrigley Field,3:29,https://www.baseball-reference.com//boxes/CHN/CHN201909010.shtml
Seattle Mariners,Chicago Cubs,2019-09-02,13:21,39133.0,Wrigley Field,2:56,https://www.baseball-reference.com//boxes/CHN/CHN201909020.shtml
Seattle Mariners,Chicago Cubs,2019-09-03,19:05,33958.0,Wrigley Field,3:14,https://www.baseball-reference.com//boxes/CHN/CHN201909030.shtml
Los Angeles Angels,Chicago White Sox,2019-09-06,19:12,20026.0,Guaranteed Rate Field,3:02,https://www.baseball-reference.com//boxes/CHA/CHA201909060.shtml
Los Angeles Angels,Chicago White Sox,2019-09-07,18:10,25230.0,Guaranteed Rate Field,3:32,https://www.baseball-reference.com//boxes/CHA/CHA201909070.shtml
Los Angeles Angels,Chicago White Sox,2019-09-08,13:11,22681.0,Guaranteed Rate Field,3:19,https://www.baseball-reference.com//boxes/CHA/CHA201909080.shtml
Kansas City Royals,Chicago White Sox,2019-09-10,19:10,15196.0,Guaranteed Rate Field,3:02,https://www.baseball-reference.com//boxes/CHA/CHA201909100.shtml
Kansas City Royals,Chicago White Sox,2019-09-11,19:12,14385.0,Guaranteed Rate Field,3:16,https://www.baseball-reference.com//boxes/CHA/CHA201909110.shtml
Kansas City Royals,Chicago White Sox,2019-09-12,13:12,13838.0,Guaranteed Rate Field,3:08,https://www.baseball-reference.com//boxes/CHA/CHA201909120.shtml
Pittsburgh Pirates,Chicago Cubs,2019-09-13,15:07,39080.0,Wrigley Field,3:52,https://www.baseball-reference.com//boxes/CHN/CHN201909130.shtml
Pittsburgh Pirates,Chicago Cubs,2019-09-14,13:22,39928.0,Wrigley Field,3:23,https://www.baseball-reference.com//boxes/CHN/CHN201909140.shtml
