YEAR,MONTH,SERVICE_DATE,SORT_ALL,BRANCH,STATION,RIDES
2019,6,2019-06-12,185.0,Orange Line,Midway Airport,8656
2019,6,2019-06-13,55.0,Blue Line - O'Hare,O'Hare Airport,14952
2019,6,2019-06-13,185.0,Orange Line,Midway Airport,9505
2019,6,2019-06-14,55.0,Blue Line - O'Hare,O'Hare Airport,13856
2019,6,2019-06-14,185.0,Orange Line,Midway Airport,9418
2019,6,2019-06-15,55.0,Blue Line - O'Hare,O'Hare Airport,8736
2019,6,2019-06-15,185.0,Orange Line,Midway Airport,3826
2019,6,2019-06-16,55.0,Blue Line - O'Hare,O'Hare Airport,10030
2019,6,2019-06-16,185.0,Orange Line,Midway Airport,3585
2019,6,2019-06-17,55.0,Blue Line - O'Hare,O'Hare Airport,8726
2019,6,2019-06-17,185.0,Orange Line,Midway Airport,8055
2019,6,2019-06-18,55.0,Blue Line - O'Hare,O'Hare Airport,7577
2019,6,2019-06-18,185.0,Orange Line,Midway Airport,8779
2019,6,2019-06-19,55.0,Blue Line - O'Hare,O'Hare Airport,8920
2019,6,2019-06-19,185.0,Orange Line,Midway Airport,8614
2019,6,2019-06-20,55.0,Blue Line - O'Hare,O'Hare Airport,13692
2019,6,2019-06-20,185.0,Orange Line,Midway Airport,8183
2019,6,2019-06-21,55.0,Blue Line - O'Hare,O'Hare Airport,12380
2019,6,2019-06-21,185.0,Orange Line,Midway Airport,9546
2019,6,2019-06-22,55.0,Blue Line - O'Hare,O'Hare Airport,6173
2019,6,2019-06-22,185.0,Orange Line,Midway Airport,4573
2019,6,2019-06-23,55.0,Blue Line - O'Hare,O'Hare Airport,5169
2019,6,2019-06-23,185.0,Orange Line,Midway Airport,3822
2019,6,2019-06-24,55.0,Blue Line - O'Hare,O'Hare Airport,6192
2019,6,2019-06-24,185.0,Orange Line,Midway Airport,8296
2019,6,2019-06-25,55.0,Blue Line - O'Hare,O'Hare Airport,6193
2019,6,2019-06-25,185.0,Orange Line,Midway Airport,9038
2019,6,2019-06-26,55.0,Blue Line - O'Hare,O'Hare Airport,8772
2019,6,2019-06-26,185.0,Orange Line,Midway Airport,8795
2019,6,2019-06-27,55.0,Blue Line - O'Hare,O'Hare Airport,12288
2019,6,2019-06-27,185.0,Orange Line,Midway Airport,8704
2019,6,2019-06-28,55.0,Blue Line - O'Hare,O'Hare Airport,13534
2019,6,2019-06-28,185.0,Orange Line,Midway Airport,8469
2019,6,2019-06-29,55.0,Blue Line - O'Hare,O'Hare Airport,9400
2019,6,2019-06-29,185.0,Orange Line,Midway Airport,4210
